condition,strategy,timeout_ms,run,frame,stall_ms
congested,reset-at-keyframe,1000,4,328,652.0
congested,reset-at-keyframe,1000,4,329,697.0
congested,reset-at-keyframe,1000,4,359,780.0
congested,reset-at-keyframe,1000,4,360,908.0
congested,reset-at-keyframe,1000,4,361,910.0
congested,reset-at-keyframe,1000,4,362,925.0
congested,reset-at-keyframe,1000,4,363,881.0
congested,reset-at-keyframe,1000,4,364,375.0
congested,reset-at-keyframe,1000,4,613,457.0
congested,reset-at-keyframe,1000,4,614,791.0
congested,reset-at-keyframe,1000,5,296,515.0
congested,reset-at-keyframe,1000,5,297,558.0
congested,reset-at-keyframe,1000,5,327,663.0
congested,reset-at-keyframe,1000,5,328,652.0
congested,reset-at-keyframe,1000,5,329,697.0
congested,reset-at-keyframe,1000,5,359,780.0
congested,reset-at-keyframe,1000,5,360,909.0
congested,reset-at-keyframe,1000,5,361,910.0
congested,reset-at-keyframe,1000,5,362,925.0
congested,reset-at-keyframe,1000,5,363,882.0
congested,reset-at-keyframe,1000,5,364,376.0
congested,reset-at-keyframe,1000,5,613,456.0
congested,reset-at-keyframe,1000,5,614,791.0
congested,reset-at-keyframe,1000,6,296,516.0
congested,reset-at-keyframe,1000,6,297,557.0
congested,reset-at-keyframe,1000,6,327,663.0
congested,reset-at-keyframe,1000,6,328,652.0
congested,reset-at-keyframe,1000,6,329,697.0
congested,reset-at-keyframe,1000,6,359,780.0
congested,reset-at-keyframe,1000,6,360,909.0
congested,reset-at-keyframe,1000,6,361,910.0
congested,reset-at-keyframe,1000,6,362,925.0
congested,reset-at-keyframe,1000,6,363,882.0
congested,reset-at-keyframe,1000,6,364,376.0
congested,reset-at-keyframe,1000,6,613,457.0
