condition,strategy,timeout_ms,run,group_id,object_id,frame_type,latency_ms
baseline,none,0,1,18,2,P,50.3
baseline,none,0,1,18,3,P,50.3
baseline,none,0,1,18,4,P,50.4
baseline,none,0,1,18,5,P,50.6
baseline,none,0,1,18,6,P,50.4
baseline,none,0,1,18,7,P,50.6
baseline,none,0,1,18,8,P,50.7
baseline,none,0,1,18,9,P,50.4
baseline,none,0,1,18,10,P,50.5
baseline,none,0,1,18,11,P,50.4
baseline,none,0,1,18,12,P,50.5
baseline,none,0,1,18,13,P,50.5
baseline,none,0,1,18,14,P,50.4
baseline,none,0,1,18,15,P,50.3
baseline,none,0,1,18,16,P,50.4
baseline,none,0,1,18,17,P,50.4
baseline,none,0,1,18,18,P,50.4
baseline,none,0,1,18,19,P,50.5
baseline,none,0,1,18,20,P,50.5
baseline,none,0,1,18,21,P,50.6
baseline,none,0,1,18,22,P,50.5
baseline,none,0,1,18,23,P,50.5
baseline,none,0,1,18,24,P,50.7
baseline,none,0,1,18,25,P,50.3
baseline,none,0,1,18,26,P,50.5
baseline,none,0,1,18,27,P,50.3
baseline,none,0,1,18,28,P,50.3
baseline,none,0,1,18,29,P,51.3
baseline,none,0,1,19,0,I,69.2
baseline,none,0,1,19,1,P,50.3
baseline,none,0,1,19,2,P,50.5
baseline,none,0,1,19,3,P,50.5
baseline,none,0,1,19,4,P,50.6
baseline,none,0,1,19,5,P,50.2
baseline,none,0,1,19,6,P,50.3
baseline,none,0,1,19,7,P,50.3
baseline,none,0,1,19,8,P,50.6
baseline,none,0,1,19,9,P,50.5
baseline,none,0,1,19,10,P,50.4
baseline,none,0,1,19,11,P,50.5
baseline,none,0,1,19,12,P,50.4
baseline,none,0,1,19,13,P,50.5
baseline,none,0,1,19,14,P,50.3
baseline,none,0,1,19,15,P,50.4
baseline,none,0,1,19,16,P,50.5
baseline,none,0,1,19,17,P,50.4
baseline,none,0,1,19,18,P,50.5
baseline,none,0,1,19,19,P,50.6
baseline,none,0,1,19,20,P,50.5
baseline,none,0,1,19,21,P,50.4
baseline,none,0,1,19,22,P,50.5
baseline,none,0,1,19,23,P,50.5
baseline,none,0,1,19,24,P,50.5
baseline,none,0,1,19,25,P,50.5
baseline,none,0,1,19,26,P,50.5
baseline,none,0,1,19,27,P,50.3
baseline,none,0,1,19,28,P,50.5
baseline,none,0,1,19,29,P,50.5
baseline,none,0,1,20,0,I,68.6
baseline,none,0,1,20,1,P,50.4
baseline,none,0,1,20,2,P,50.2
baseline,none,0,1,20,3,P,50.3
baseline,none,0,1,20,4,P,50.4
baseline,none,0,1,20,5,P,50.4
baseline,none,0,1,20,6,P,50.4
baseline,none,0,1,20,7,P,50.3
baseline,none,0,1,20,8,P,50.5
baseline,none,0,1,20,9,P,50.5
baseline,none,0,1,20,10,P,50.5
baseline,none,0,1,20,11,P,50.4
baseline,none,0,1,20,12,P,50.5
baseline,none,0,1,20,13,P,50.3
baseline,none,0,1,20,14,P,50.4
baseline,none,0,1,20,15,P,50.5
baseline,none,0,1,20,16,P,50.5
baseline,none,0,1,20,17,P,50.4
baseline,none,0,1,20,18,P,50.4
baseline,none,0,1,20,19,P,50.5
baseline,none,0,1,20,20,P,50.5
baseline,none,0,1,20,21,P,50.6
baseline,none,0,1,20,22,P,50.3
baseline,none,0,1,20,23,P,50.4
baseline,none,0,1,20,24,P,50.4
baseline,none,0,1,20,25,P,50.4
baseline,none,0,1,21,0,I,56.2
baseline,none,0,1,21,1,P,50.3
baseline,none,0,1,21,2,P,50.4
baseline,none,0,1,21,3,P,50.4
baseline,none,0,1,21,4,P,50.4
baseline,none,0,1,21,5,P,50.3
baseline,none,0,1,21,6,P,50.3
baseline,none,0,1,21,7,P,50.3
baseline,none,0,1,21,8,P,50.4
baseline,none,0,1,21,9,P,50.4
baseline,none,0,1,21,10,P,50.5
baseline,none,0,1,21,11,P,50.3
baseline,none,0,1,21,12,P,50.3
baseline,none,0,1,21,13,P,50.2
baseline,none,0,1,21,14,P,50.4
baseline,none,0,1,21,15,P,50.3
baseline,none,0,1,21,16,P,50.4
baseline,none,0,1,21,17,P,50.5
baseline,none,0,1,21,18,P,50.4
baseline,none,0,1,21,19,P,50.4
baseline,none,0,1,21,20,P,50.8
baseline,none,0,1,21,21,P,50.7
baseline,none,0,1,21,22,P,50.4
baseline,none,0,1,21,23,P,50.3
baseline,none,0,1,21,24,P,50.3
baseline,none,0,1,21,25,P,50.3
baseline,none,0,1,21,26,P,50.4
baseline,none,0,1,21,27,P,50.3
baseline,none,0,1,21,28,P,50.4
baseline,none,0,1,21,29,P,50.4
baseline,none,0,1,22,0,I,56.1
baseline,none,0,1,22,1,P,50.3
baseline,none,0,1,22,2,P,50.2
baseline,none,0,1,22,3,P,50.2
baseline,none,0,1,22,4,P,50.4
baseline,none,0,1,22,5,P,50.2
baseline,none,0,1,22,6,P,50.3
baseline,none,0,1,22,7,P,50.3
baseline,none,0,1,22,8,P,50.4
baseline,none,0,1,22,9,P,50.3
baseline,none,0,1,22,10,P,50.3
baseline,none,0,1,22,11,P,50.3
baseline,none,0,1,22,12,P,50.3
baseline,none,0,1,22,13,P,50.4
baseline,none,0,1,22,14,P,50.3
baseline,none,0,1,22,15,P,50.4
baseline,none,0,1,22,16,P,50.3
baseline,none,0,1,22,17,P,50.4
baseline,none,0,1,22,18,P,50.3
baseline,none,0,1,22,19,P,50.3
baseline,none,0,1,22,20,P,50.2
baseline,none,0,1,22,21,P,50.3
baseline,none,0,1,22,22,P,50.3
baseline,none,0,1,22,23,P,50.4
baseline,none,0,1,22,24,P,50.3
baseline,none,0,1,22,25,P,50.8
baseline,none,0,1,22,26,P,50.4
baseline,none,0,1,22,27,P,50.4
baseline,none,0,1,22,28,P,50.4
baseline,none,0,1,22,29,P,50.4
baseline,none,0,1,23,0,I,56.1
baseline,none,0,1,23,1,P,50.3
baseline,none,0,1,23,2,P,50.3
baseline,none,0,1,23,3,P,50.3
baseline,none,0,1,23,4,P,50.2
baseline,none,0,1,23,5,P,50.3
baseline,none,0,1,23,6,P,50.4
baseline,none,0,1,23,7,P,50.4
baseline,none,0,1,23,8,P,50.4
baseline,none,0,1,23,9,P,50.3
baseline,none,0,1,23,10,P,50.3
baseline,none,0,1,23,11,P,50.4
baseline,none,0,1,23,12,P,50.5
baseline,none,0,1,23,13,P,50.4
baseline,none,0,1,23,14,P,50.2
baseline,none,0,1,23,15,P,50.4
baseline,none,0,1,23,16,P,50.3
baseline,none,0,1,23,17,P,50.4
baseline,none,0,1,23,18,P,50.3
baseline,none,0,1,23,19,P,50.5
baseline,none,0,1,23,20,P,50.4
baseline,none,0,1,23,21,P,50.2
baseline,none,0,1,23,22,P,50.2
baseline,none,0,1,23,23,P,50.2
baseline,none,0,1,23,24,P,50.3
baseline,none,0,1,23,25,P,50.3
baseline,none,0,1,23,26,P,50.4
