condition,strategy,timeout_ms,run,num_frames,stall_count,stall_total_s,stall_from_duration_s,stall_max_ms
severe,reset-at-keyframe,500,10,538,16,10.754,10.332,1047.0
severe,reset-at-keyframe,1000,1,578,19,9.988,9.793,961.0
severe,reset-at-keyframe,1000,2,613,15,8.996,8.645,925.0
severe,reset-at-keyframe,1000,3,595,17,9.401,9.127,1069.0
severe,reset-at-keyframe,1000,4,599,18,9.343,9.094,925.0
severe,reset-at-keyframe,1000,5,598,17,9.307,9.088,977.0
severe,reset-at-keyframe,1000,6,608,14,8.977,8.776,948.0
severe,reset-at-keyframe,1000,7,601,16,9.144,8.985,949.0
severe,reset-at-keyframe,1000,8,607,15,9.192,8.786,1072.0
severe,reset-at-keyframe,1000,9,610,14,8.894,8.696,935.0
severe,reset-at-keyframe,1000,10,610,16,8.938,8.763,953.0
severe,reset-at-object,100,1,324,20,17.765,17.57,1432.0
severe,reset-at-object,100,2,294,21,18.784,18.586,1142.0
severe,reset-at-object,100,3,266,22,19.685,19.517,1117.0
severe,reset-at-object,100,4,266,22,19.714,19.548,1131.0
severe,reset-at-object,100,5,295,22,18.775,18.526,1415.0
severe,reset-at-object,100,6,322,21,17.877,17.644,1107.0
severe,reset-at-object,100,7,268,23,19.673,19.424,1106.0
severe,reset-at-object,100,8,299,21,18.58,18.385,1106.0
severe,reset-at-object,100,9,295,22,18.792,18.543,1118.0
severe,reset-at-object,100,10,295,21,18.745,18.552,1367.0
severe,reset-at-object,200,1,429,16,14.178,13.94,1216.0
severe,reset-at-object,200,2,468,16,12.97,12.727,1106.0
severe,reset-at-object,200,3,440,16,13.9,13.656,1106.0
severe,reset-at-object,200,4,469,15,12.827,12.565,1106.0
severe,reset-at-object,200,5,461,17,13.224,12.958,1080.0
severe,reset-at-object,200,6,469,16,12.953,12.631,1114.0
severe,reset-at-object,200,7,440,16,13.89,13.627,1118.0
severe,reset-at-object,200,8,439,16,13.824,13.669,1096.0
severe,reset-at-object,200,9,440,16,13.817,13.68,1106.0
severe,reset-at-object,200,10,480,15,12.61,12.3,1129.0
severe,reset-at-object,500,1,556,16,9.968,9.744,1073.0
