condition,strategy,timeout_ms,run,reset_groups,complete_groups,kf_in_reset,recv_frac_reset,trigger_obj_median
severe,reset-at-keyframe,1000,6,12,20,12,0.1808,1
severe,reset-at-keyframe,1000,7,11,21,11,0.0895,1
severe,reset-at-keyframe,1000,8,11,21,11,0.1032,1
severe,reset-at-keyframe,1000,9,11,21,11,0.1191,1
severe,reset-at-keyframe,1000,10,10,22,10,0.0364,1
severe,reset-at-object,100,1,20,12,20,0.0351,1
severe,reset-at-object,100,2,21,11,20,0.0334,1
severe,reset-at-object,100,3,22,10,22,0.035,1
severe,reset-at-object,100,4,22,10,22,0.035,1
severe,reset-at-object,100,5,21,11,20,0.035,1
severe,reset-at-object,100,6,20,12,19,0.0335,1
severe,reset-at-object,100,7,22,10,22,0.038,1
severe,reset-at-object,100,8,21,11,21,0.043,1
severe,reset-at-object,100,9,21,11,21,0.035,1
severe,reset-at-object,100,10,21,11,20,0.035,1
severe,reset-at-object,200,1,16,16,16,0.0356,1
severe,reset-at-object,200,2,15,17,15,0.0357,1
severe,reset-at-object,200,3,16,16,16,0.0356,1
severe,reset-at-object,200,4,15,17,15,0.0357,1
severe,reset-at-object,200,5,16,16,16,0.0793,1
severe,reset-at-object,200,6,15,17,15,0.0357,1
severe,reset-at-object,200,7,16,16,16,0.0356,1
severe,reset-at-object,200,8,16,16,16,0.0356,1
severe,reset-at-object,200,9,16,16,16,0.0356,1
severe,reset-at-object,200,10,15,17,15,0.0602,1
severe,reset-at-object,500,1,12,20,12,0.0363,1
severe,reset-at-object,500,2,13,19,13,0.1027,1
severe,reset-at-object,500,3,13,19,13,0.1002,1
severe,reset-at-object,500,4,13,19,13,0.1002,1
severe,reset-at-object,500,5,13,19,13,0.1079,1
severe,reset-at-object,500,6,13,19,13,0.1002,1
severe,reset-at-object,500,7,13,19,13,0.1079,1
severe,reset-at-object,500,8,13,19,13,0.1079,1
severe,reset-at-object,500,9,12,20,12,0.1053,1
severe,reset-at-object,500,10,12,20,12,0.1053,1
severe,reset-at-object,1000,1,11,21,11,0.1093,1
severe,reset-at-object,1000,2,12,20,12,0.1724,1
severe,reset-at-object,1000,3,12,20,12,0.1863,1
severe,reset-at-object,1000,4,12,20,12,0.1752,1
severe,reset-at-object,1000,5,11,21,11,0.1002,1
severe,reset-at-object,1000,6,11,21,11,0.1063,1
severe,reset-at-object,1000,7,11,21,11,0.1002,1
severe,reset-at-object,1000,8,11,21,11,0.1184,1
severe,reset-at-object,1000,9,11,21,11,0.0911,1
severe,reset-at-object,1000,10,12,20,12,0.1724,1
severe,reset-stream,100,1,20,12,10,0.0182,1
severe,reset-stream,100,2,21,11,12,0.0259,1
severe,reset-stream,100,3,19,13,10,0.0192,1
severe,reset-stream,100,4,19,13,12,0.0227,1
severe,reset-stream,100,5,22,10,10,0.0182,1
severe,reset-stream,100,6,22,10,7,0.0214,1
severe,reset-stream,100,7,22,10,11,0.0217,1
severe,reset-stream,100,8,21,11,11,0.0189,1
severe,reset-stream,100,9,21,11,14,0.0225,1
severe,reset-stream,100,10,22,10,11,0.0196,1
severe,reset-stream,200,1,15,17,7,0.0559,1
severe,reset-stream,200,2,16,16,9,0.0207,1
severe,reset-stream,200,3,15,17,9,0.0203,1
severe,reset-stream,200,4,15,17,9,0.0207,1
severe,reset-stream,200,5,15,17,9,0.02,1
severe,reset-stream,200,6,15,17,9,0.0487,1
severe,reset-stream,200,7,15,17,9,0.0224,1
severe,reset-stream,200,8,15,17,7,0.0156,1
severe,reset-stream,200,9,17,15,9,0.0194,1
severe,reset-stream,200,10,17,15,8,0.0178,1
severe,reset-stream,500,1,12,20,6,0.0171,1
severe,reset-stream,500,2,13,19,7,0.0594,1
severe,reset-stream,500,3,13,19,8,0.0773,1
severe,reset-stream,500,4,12,20,7,0.022,1
severe,reset-stream,500,5,12,20,7,0.0199,1
severe,reset-stream,500,6,13,19,11,0.0286,1
severe,reset-stream,500,7,13,19,4,0.0824,1
severe,reset-stream,500,8,13,19,6,0.1465,1
severe,reset-stream,500,9,12,20,9,0.0949,1
severe,reset-stream,500,10,13,19,9,0.0797,1
severe,reset-stream,1000,1,11,21,9,0.1032,1
severe,reset-stream,1000,2,11,21,6,0.1053,1
severe,reset-stream,1000,3,11,21,9,0.0858,1
severe,reset-stream,1000,4,12,20,10,0.1562,1
severe,reset-stream,1000,5,11,21,11,0.1002,1
severe,reset-stream,1000,6,11,21,7,0.0828,1
severe,reset-stream,1000,7,11,21,5,0.0902,1
severe,reset-stream,1000,8,10,22,8,0.0297,1
severe,reset-stream,1000,9,11,21,10,0.1009,1
severe,reset-stream,1000,10,11,21,8,0.1333,1
